;ano;sigla_uf;id_municipio;populacao
185;2021;PA;1502301;54545
186;2021;PA;1502400;205667
187;2021;PA;1502509;24175
188;2021;PA;1502608;12175
189;2021;PA;1502707;48115
190;2021;PA;1502756;34236
191;2021;PA;1502764;14044
192;2021;PA;1502772;17764
193;2021;PA;1502806;35530
194;2021;PA;1502855;14776
195;2021;PA;1502905;41093
196;2021;PA;1502939;61206
197;2021;PA;1502954;34069
198;2021;PA;1503002;6949
199;2021;PA;1503044;20742
200;2021;PA;1503077;26155
201;2021;PA;1503093;41678
202;2021;PA;1503101;34127
203;2021;PA;1503200;39234
204;2021;PA;1503309;63367
205;2021;PA;1503408;12009
206;2021;PA;1503457;67170
207;2021;PA;1503507;32639
208;2021;PA;1503606;101541
209;2021;PA;1503705;53439
210;2021;PA;1503754;6952
211;2021;PA;1503804;60517
212;2021;PA;1503903;59961
213;2021;PA;1504000;29623
214;2021;PA;1504059;30389
215;2021;PA;1504109;8598
216;2021;PA;1504208;287664
217;2021;PA;1504307;29559
218;2021;PA;1504406;28563
219;2021;PA;1504422;135812
220;2021;PA;1504455;32347
221;2021;PA;1504505;28121
222;2021;PA;1504604;31917
223;2021;PA;1504703;84251
224;2021;PA;1504752;16282
225;2021;PA;1504802;58289
226;2021;PA;1504901;41454
227;2021;PA;1504950;21519
228;2021;PA;1504976;17027
229;2021;PA;1505007;15646
230;2021;PA;1505031;25769
231;2021;PA;1505064;78488
232;2021;PA;1505106;52473
233;2021;PA;1505205;33182
234;2021;PA;1505304;74921
235;2021;PA;1505403;18079
236;2021;PA;1505437;33831
237;2021;PA;1505486;49110
238;2021;PA;1505494;7575
239;2021;PA;1505502;115838
240;2021;PA;1505536;218787
241;2021;PA;1505551;5339
242;2021;PA;1505601;8084
243;2021;PA;1505635;12976
244;2021;PA;1505650;32325
245;2021;PA;1505700;32007
246;2021;PA;1505809;63831
247;2021;PA;1505908;42456
248;2021;PA;1506005;29827
249;2021;PA;1506104;10889
250;2021;PA;1506112;13794
251;2021;PA;1506138;86326
252;2021;PA;1506161;18208
253;2021;PA;1506187;53242
254;2021;PA;1506195;52473
255;2021;PA;1506203;41164
256;2021;PA;1506302;24392
257;2021;PA;1506351;21811
258;2021;PA;1506401;10496
259;2021;PA;1506500;72856
260;2021;PA;1506559;19839
261;2021;PA;1506583;22244
262;2021;PA;1506609;25127
263;2021;PA;1506708;75995
264;2021;PA;1506807;308339
265;2021;PA;1506906;6796
266;2021;PA;1507003;32346
267;2021;PA;1507102;18207
268;2021;PA;1507151;25945
269;2021;PA;1507201;32285
270;2021;PA;1507300;135732
271;2021;PA;1507409;15978
272;2021;PA;1507458;24566
273;2021;PA;1507466;6294
274;2021;PA;1507474;23440
275;2021;PA;1507508;14105
276;2021;PA;1507607;60268
277;2021;PA;1507706;27302
278;2021;PA;1507755;6088
279;2021;PA;1507805;11305
280;2021;PA;1507904;25752
281;2021;PA;1507953;111554
282;2021;PA;1507961;11971
283;2021;PA;1507979;19063
284;2021;PA;1508001;64604
285;2021;PA;1508035;31549
286;2021;PA;1508050;19344
287;2021;PA;1508084;40661
288;2021;PA;1508100;116605
289;2021;PA;1508126;62286
290;2021;PA;1508159;45395
291;2021;PA;1508209;54650
292;2021;PA;1508308;62093
293;2021;PA;1508357;15421
294;2021;PA;1508407;45416
295;2021;AP;1600055;5577
296;2021;AP;1600105;9265
297;2021;AP;1600154;17625
298;2021;AP;1600204;11493
299;2021;AP;1600212;6217
300;2021;AP;1600238;8151
301;2021;AP;1600253;5730
302;2021;AP;1600279;52302
303;2021;AP;1600303;522357
304;2021;AP;1600402;22468
305;2021;AP;1600501;28534
306;2021;AP;1600535;22927
307;2021;AP;1600550;5370
308;2021;AP;1600600;124808
309;2021;AP;1600709;18217
310;2021;AP;1600808;16572
311;2021;TO;1700251;2609
312;2021;TO;1700301;7049
313;2021;TO;1700350;5303
314;2021;TO;1700400;6905
315;2021;TO;1700707;8381
316;2021;TO;1701002;9435
317;2021;TO;1701051;3475
318;2021;TO;1701101;4901
319;2021;TO;1701309;5705
320;2021;TO;1701903;7223
321;2021;TO;1702000;8418
322;2021;TO;1702109;186245
323;2021;TO;1702158;5856
324;2021;TO;1702208;36573
325;2021;TO;1702307;6590
326;2021;TO;1702406;10502
327;2021;TO;1702554;18870
328;2021;TO;1702703;3809
329;2021;TO;1702901;9817
330;2021;TO;1703008;10668
331;2021;TO;1703057;3631
332;2021;TO;1703073;4673
333;2021;TO;1703107;5669
334;2021;TO;1703206;4439
335;2021;TO;1703305;5120
336;2021;TO;1703602;2221
337;2021;TO;1703701;5540
338;2021;TO;1703800;11644
339;2021;TO;1703826;2293
340;2021;TO;1703842;10505
341;2021;TO;1703867;4499
342;2021;TO;1703883;2627
343;2021;TO;1703891;4165
344;2021;TO;1703909;5514
345;2021;TO;1704105;2966
346;2021;TO;1704600;1415
347;2021;TO;1705102;3330
348;2021;TO;1705508;36271
349;2021;TO;1705557;4870
350;2021;TO;1705607;4070
351;2021;TO;1706001;5690
352;2021;TO;1706100;7268
353;2021;TO;1706258;1749
354;2021;TO;1706506;6250
355;2021;TO;1707009;22704
356;2021;TO;1707108;6986
